,pm10,local_time
0,69.0,2019-08-02 00:00:00
1,62.0,2019-08-02 01:00:00
2,77.0,2019-08-02 02:00:00
3,47.0,2019-08-02 03:00:00
4,48.0,2019-08-02 04:00:00
5,66.0,2019-08-02 05:00:00
6,55.0,2019-08-02 06:00:00
7,62.0,2019-08-02 07:00:00
8,75.0,2019-08-02 08:00:00
9,88.0,2019-08-02 09:00:00
10,79.0,2019-08-02 10:00:00
11,62.0,2019-08-02 11:00:00
12,122.0,2019-08-02 12:00:00
13,113.0,2019-08-02 13:00:00
14,46.0,2019-08-02 14:00:00
15,35.0,2019-08-02 15:00:00
16,36.0,2019-08-02 16:00:00
17,48.0,2019-08-02 17:00:00
18,80.0,2019-08-02 18:00:00
19,86.0,2019-08-02 19:00:00
20,74.0,2019-08-02 20:00:00
21,95.0,2019-08-02 21:00:00
22,107.0,2019-08-02 22:00:00
23,103.0,2019-08-02 23:00:00
24,90.0,2019-08-03 00:00:00
25,84.0,2019-08-03 01:00:00
26,112.0,2019-08-03 02:00:00
27,108.0,2019-08-03 03:00:00
28,106.0,2019-08-03 04:00:00
29,163.0,2019-08-03 05:00:00
30,118.0,2019-08-03 06:00:00
31,158.0,2019-08-03 07:00:00
32,133.0,2019-08-03 08:00:00
33,124.0,2019-08-03 09:00:00
34,107.0,2019-08-03 10:00:00
35,34.0,2019-08-03 11:00:00
36,52.0,2019-08-03 12:00:00
37,63.0,2019-08-03 13:00:00
38,59.0,2019-08-03 14:00:00
39,50.0,2019-08-03 15:00:00
40,31.0,2019-08-03 16:00:00
41,36.0,2019-08-03 17:00:00
42,79.0,2019-08-03 18:00:00
43,69.0,2019-08-03 19:00:00
44,64.0,2019-08-03 20:00:00
45,103.0,2019-08-03 21:00:00
46,92.0,2019-08-03 22:00:00
47,117.0,2019-08-03 23:00:00
48,81.0,2019-08-04 00:00:00
49,161.0,2019-08-04 01:00:00
50,136.0,2019-08-04 02:00:00
51,113.0,2019-08-04 03:00:00
52,64.0,2019-08-04 04:00:00
53,75.0,2019-08-04 05:00:00
54,96.0,2019-08-04 06:00:00
55,89.0,2019-08-04 07:00:00
56,105.0,2019-08-04 08:00:00
57,77.0,2019-08-04 09:00:00
58,75.0,2019-08-04 10:00:00
59,92.0,2019-08-04 11:00:00
60,80.0,2019-08-04 12:00:00
61,83.0,2019-08-04 13:00:00
62,92.0,2019-08-04 14:00:00
63,62.0,2019-08-04 15:00:00
64,80.0,2019-08-04 16:00:00
65,81.0,2019-08-04 17:00:00
66,89.0,2019-08-04 18:00:00
67,101.0,2019-08-04 19:00:00
68,127.0,2019-08-04 20:00:00
69,210.0,2019-08-04 21:00:00
70,186.0,2019-08-04 22:00:00
71,206.0,2019-08-04 23:00:00
72,252.0,2019-08-05 00:00:00
73,188.0,2019-08-05 01:00:00
74,130.0,2019-08-05 02:00:00
75,90.0,2019-08-05 03:00:00
76,91.0,2019-08-05 04:00:00
77,130.0,2019-08-05 05:00:00
78,141.0,2019-08-05 06:00:00
79,139.0,2019-08-05 07:00:00
80,152.0,2019-08-05 08:00:00
81,150.0,2019-08-05 09:00:00
82,139.0,2019-08-05 10:00:00
83,111.0,2019-08-05 11:00:00
84,119.0,2019-08-05 12:00:00
85,125.0,2019-08-05 13:00:00
86,114.0,2019-08-05 14:00:00
87,66.0,2019-08-05 15:00:00
88,51.0,2019-08-05 16:00:00
89,86.0,2019-08-05 17:00:00
90,138.0,2019-08-05 18:00:00
91,136.0,2019-08-05 19:00:00
92,134.0,2019-08-05 20:00:00
93,152.0,2019-08-05 21:00:00
94,157.0,2019-08-05 22:00:00
95,130.0,2019-08-05 23:00:00
96,99.0,2019-08-06 00:00:00
97,89.0,2019-08-06 01:00:00
98,79.0,2019-08-06 02:00:00
99,80.0,2019-08-06 03:00:00
100,95.0,2019-08-06 04:00:00
101,101.0,2019-08-06 05:00:00
102,121.0,2019-08-06 06:00:00
103,118.0,2019-08-06 07:00:00
104,36.0,2019-08-06 08:00:00
105,36.0,2019-08-06 09:00:00
106,29.0,2019-08-06 10:00:00
107,14.0,2019-08-06 11:00:00
108,13.0,2019-08-06 12:00:00
109,30.0,2019-08-06 13:00:00
110,41.0,2019-08-06 14:00:00
111,42.0,2019-08-06 15:00:00
112,67.0,2019-08-06 16:00:00
113,36.0,2019-08-06 17:00:00
114,44.0,2019-08-06 18:00:00
115,78.0,2019-08-06 19:00:00
116,81.0,2019-08-06 20:00:00
117,83.0,2019-08-06 21:00:00
118,78.0,2019-08-06 22:00:00
119,75.0,2019-08-06 23:00:00
120,90.0,2019-08-07 00:00:00
121,50.0,2019-08-07 01:00:00
122,67.0,2019-08-07 02:00:00
123,57.0,2019-08-07 03:00:00
124,69.0,2019-08-07 04:00:00
125,64.0,2019-08-07 05:00:00
126,48.0,2019-08-07 06:00:00
127,116.0,2019-08-07 07:00:00
128,91.0,2019-08-07 08:00:00
129,124.0,2019-08-07 09:00:00
130,63.0,2019-08-07 10:00:00
131,83.0,2019-08-07 11:00:00
132,80.0,2019-08-07 12:00:00
133,56.0,2019-08-07 13:00:00
134,34.0,2019-08-07 14:00:00
135,34.0,2019-08-07 15:00:00
136,28.0,2019-08-07 16:00:00
137,27.0,2019-08-07 17:00:00
138,24.0,2019-08-07 18:00:00
139,45.0,2019-08-07 19:00:00
140,85.0,2019-08-07 20:00:00
141,74.0,2019-08-07 21:00:00
142,78.0,2019-08-07 22:00:00
143,94.0,2019-08-07 23:00:00
144,72.0,2019-08-08 00:00:00
145,83.0,2019-08-08 01:00:00
146,91.0,2019-08-08 02:00:00
147,70.0,2019-08-08 03:00:00
148,75.0,2019-08-08 04:00:00
149,108.0,2019-08-08 05:00:00
150,81.0,2019-08-08 06:00:00
151,127.0,2019-08-08 07:00:00
152,169.0,2019-08-08 08:00:00
153,130.0,2019-08-08 09:00:00
