,rohini,utc_time
162,127.0,2019-07-24 00:00:00
163,134.0,2019-07-24 01:00:00
164,31.0,2019-07-24 02:00:00
165,42.0,2019-07-24 03:00:00
166,62.0,2019-07-24 04:00:00
167,89.0,2019-07-24 05:00:00
168,99.0,2019-07-24 06:00:00
169,57.0,2019-07-24 07:00:00
170,57.0,2019-07-24 08:00:00
171,38.0,2019-07-24 09:00:00
172,35.0,2019-07-24 10:00:00
173,36.0,2019-07-24 11:00:00
174,33.0,2019-07-24 12:00:00
175,31.0,2019-07-24 13:00:00
176,17.0,2019-07-24 14:00:00
177,9.0,2019-07-24 15:00:00
178,9.0,2019-07-24 16:00:00
179,20.0,2019-07-24 17:00:00
180,12.0,2019-07-24 18:00:00
181,13.0,2019-07-24 19:00:00
182,13.0,2019-07-24 20:00:00
183,12.0,2019-07-24 21:00:00
184,9.0,2019-07-24 22:00:00
185,7.0,2019-07-24 23:00:00
186,8.0,2019-07-25 00:00:00
1816,,2019-07-25 01:00:00
187,27.0,2019-07-25 02:00:00
1817,,2019-07-25 03:00:00
188,22.0,2019-07-25 04:00:00
189,20.0,2019-07-25 05:00:00
190,20.0,2019-07-25 06:00:00
191,23.0,2019-07-25 07:00:00
192,18.0,2019-07-25 08:00:00
193,9.0,2019-07-25 09:00:00
194,6.0,2019-07-25 10:00:00
195,17.0,2019-07-25 11:00:00
196,12.0,2019-07-25 12:00:00
197,14.0,2019-07-25 13:00:00
198,20.0,2019-07-25 14:00:00
199,27.0,2019-07-25 15:00:00
200,22.0,2019-07-25 16:00:00
201,25.0,2019-07-25 17:00:00
202,40.0,2019-07-25 18:00:00
203,69.0,2019-07-25 19:00:00
204,62.0,2019-07-25 20:00:00
205,36.0,2019-07-25 21:00:00
206,41.0,2019-07-25 22:00:00
207,51.0,2019-07-25 23:00:00
208,59.0,2019-07-26 00:00:00
209,62.0,2019-07-26 01:00:00
210,42.0,2019-07-26 02:00:00
211,29.0,2019-07-26 03:00:00
212,30.0,2019-07-26 04:00:00
213,18.0,2019-07-26 05:00:00
214,36.0,2019-07-26 06:00:00
