,faridabad,utc_time
50,59.0,2019-07-13 13:00:00
51,67.0,2019-07-13 14:00:00
52,64.0,2019-07-13 15:00:00
53,102.0,2019-07-13 16:00:00
54,89.0,2019-07-13 17:00:00
55,64.0,2019-07-13 18:00:00
56,46.0,2019-07-13 19:00:00
57,59.0,2019-07-13 20:00:00
58,59.0,2019-07-13 21:00:00
59,61.0,2019-07-13 22:00:00
60,70.0,2019-07-13 23:00:00
61,70.0,2019-07-14 00:00:00
62,52.0,2019-07-14 01:00:00
63,65.0,2019-07-14 02:00:00
64,75.0,2019-07-14 03:00:00
65,111.0,2019-07-14 04:00:00
66,111.0,2019-07-14 05:00:00
67,114.0,2019-07-14 06:00:00
68,104.0,2019-07-14 07:00:00
69,101.0,2019-07-14 08:00:00
70,101.0,2019-07-14 09:00:00
71,100.0,2019-07-14 10:00:00
72,73.0,2019-07-14 11:00:00
73,62.0,2019-07-14 12:00:00
74,61.0,2019-07-14 13:00:00
75,81.0,2019-07-14 14:00:00
76,77.0,2019-07-14 15:00:00
77,90.0,2019-07-14 16:00:00
78,69.0,2019-07-14 17:00:00
79,63.0,2019-07-14 18:00:00
80,49.0,2019-07-14 19:00:00
81,25.0,2019-07-14 20:00:00
82,29.0,2019-07-14 21:00:00
83,17.0,2019-07-14 22:00:00
84,12.0,2019-07-14 23:00:00
85,7.0,2019-07-15 00:00:00
86,8.0,2019-07-15 01:00:00
87,11.0,2019-07-15 02:00:00
88,7.0,2019-07-15 03:00:00
89,26.0,2019-07-15 04:00:00
90,26.0,2019-07-15 05:00:00
91,35.0,2019-07-15 06:00:00
1781,,2019-07-15 07:00:00
92,0.0,2019-07-15 08:00:00
93,0.0,2019-07-15 09:00:00
94,2.0,2019-07-15 10:00:00
95,103.0,2019-07-15 11:00:00
96,17.0,2019-07-15 12:00:00
97,5.0,2019-07-15 13:00:00
98,10.0,2019-07-15 14:00:00
99,5.0,2019-07-15 15:00:00
100,30.0,2019-07-15 16:00:00
101,24.0,2019-07-15 17:00:00
102,35.0,2019-07-15 18:00:00
103,17.0,2019-07-15 19:00:00
104,22.0,2019-07-15 20:00:00
105,17.0,2019-07-15 21:00:00
106,46.0,2019-07-15 22:00:00
107,33.0,2019-07-15 23:00:00
108,25.0,2019-07-16 00:00:00
109,27.0,2019-07-16 01:00:00
110,30.0,2019-07-16 02:00:00
111,30.0,2019-07-16 03:00:00
112,20.0,2019-07-16 04:00:00
113,32.0,2019-07-16 05:00:00
114,32.0,2019-07-16 06:00:00
115,22.0,2019-07-16 07:00:00
1782,,2019-07-16 08:00:00
116,28.0,2019-07-16 09:00:00
117,28.0,2019-07-16 10:00:00
118,16.0,2019-07-16 11:00:00
119,30.0,2019-07-16 12:00:00
120,26.0,2019-07-16 13:00:00
121,1.0,2019-07-16 14:00:00
122,15.0,2019-07-16 15:00:00
123,19.0,2019-07-16 16:00:00
124,27.0,2019-07-16 17:00:00
125,21.0,2019-07-16 18:00:00
126,21.0,2019-07-16 19:00:00
127,26.0,2019-07-16 20:00:00
128,27.0,2019-07-16 21:00:00
129,35.0,2019-07-16 22:00:00
130,35.0,2019-07-16 23:00:00
131,36.0,2019-07-17 00:00:00
132,41.0,2019-07-17 01:00:00
133,24.0,2019-07-17 02:00:00
134,20.0,2019-07-17 03:00:00
135,9.0,2019-07-17 04:00:00
136,9.0,2019-07-17 05:00:00
137,30.0,2019-07-17 06:00:00
138,30.0,2019-07-17 07:00:00
139,13.0,2019-07-17 08:00:00
140,9.0,2019-07-17 09:00:00
141,12.0,2019-07-17 10:00:00
142,10.0,2019-07-17 11:00:00
143,18.0,2019-07-17 12:00:00
144,2.0,2019-07-17 13:00:00
145,30.0,2019-07-17 14:00:00
146,53.0,2019-07-17 15:00:00
147,79.0,2019-07-17 16:00:00
148,102.0,2019-07-17 17:00:00
149,79.0,2019-07-17 18:00:00
150,82.0,2019-07-17 19:00:00
151,67.0,2019-07-17 20:00:00
152,69.0,2019-07-17 21:00:00
153,54.0,2019-07-17 22:00:00
154,30.0,2019-07-17 23:00:00
1783,,2019-07-18 00:00:00
1784,,2019-07-18 01:00:00
1785,,2019-07-18 02:00:00
1786,,2019-07-18 03:00:00
1787,,2019-07-18 04:00:00
155,21.0,2019-07-18 05:00:00
156,29.0,2019-07-18 06:00:00
157,8.0,2019-07-18 07:00:00
158,7.0,2019-07-18 08:00:00
159,23.0,2019-07-18 09:00:00
160,26.0,2019-07-18 10:00:00
161,51.0,2019-07-18 11:00:00
162,51.0,2019-07-18 12:00:00
163,47.0,2019-07-18 13:00:00
164,26.0,2019-07-18 14:00:00
165,35.0,2019-07-18 15:00:00
166,43.0,2019-07-18 16:00:00
167,27.0,2019-07-18 17:00:00
168,45.0,2019-07-18 18:00:00
169,46.0,2019-07-18 19:00:00
170,64.0,2019-07-18 20:00:00
171,61.0,2019-07-18 21:00:00
172,58.0,2019-07-18 22:00:00
173,58.0,2019-07-18 23:00:00
174,58.0,2019-07-19 00:00:00
175,64.0,2019-07-19 01:00:00
176,79.0,2019-07-19 02:00:00
177,85.0,2019-07-19 03:00:00
178,48.0,2019-07-19 04:00:00
179,48.0,2019-07-19 05:00:00
180,43.0,2019-07-19 06:00:00
181,27.0,2019-07-19 07:00:00
182,32.0,2019-07-19 08:00:00
183,36.0,2019-07-19 09:00:00
184,43.0,2019-07-19 10:00:00
185,49.0,2019-07-19 11:00:00
186,50.0,2019-07-19 12:00:00
187,43.0,2019-07-19 13:00:00
188,35.0,2019-07-19 14:00:00
189,45.0,2019-07-19 15:00:00
190,53.0,2019-07-19 16:00:00
191,44.0,2019-07-19 17:00:00
192,48.0,2019-07-19 18:00:00
193,48.0,2019-07-19 19:00:00
194,40.0,2019-07-19 20:00:00
195,39.0,2019-07-19 21:00:00
196,47.0,2019-07-19 22:00:00
197,43.0,2019-07-19 23:00:00
198,43.0,2019-07-20 00:00:00
199,43.0,2019-07-20 01:00:00
200,46.0,2019-07-20 02:00:00
201,53.0,2019-07-20 03:00:00
202,50.0,2019-07-20 04:00:00
1788,,2019-07-20 05:00:00
1789,,2019-07-20 06:00:00
203,50.0,2019-07-20 07:00:00
1790,,2019-07-20 08:00:00
204,20.0,2019-07-20 09:00:00
205,20.0,2019-07-20 10:00:00
206,20.0,2019-07-20 11:00:00
207,31.0,2019-07-20 12:00:00
208,6.0,2019-07-20 13:00:00
209,9.0,2019-07-20 14:00:00
210,34.0,2019-07-20 15:00:00
211,54.0,2019-07-20 16:00:00
212,54.0,2019-07-20 17:00:00
213,71.0,2019-07-20 18:00:00
214,69.0,2019-07-20 19:00:00
215,69.0,2019-07-20 20:00:00
216,70.0,2019-07-20 21:00:00
217,56.0,2019-07-20 22:00:00
218,32.0,2019-07-20 23:00:00
219,32.0,2019-07-21 00:00:00
220,37.0,2019-07-21 01:00:00
221,32.0,2019-07-21 02:00:00
222,37.0,2019-07-21 03:00:00
223,35.0,2019-07-21 04:00:00
224,35.0,2019-07-21 05:00:00
225,47.0,2019-07-21 06:00:00
226,47.0,2019-07-21 07:00:00
227,37.0,2019-07-21 08:00:00
228,35.0,2019-07-21 09:00:00
229,31.0,2019-07-21 10:00:00
230,16.0,2019-07-21 11:00:00
231,11.0,2019-07-21 12:00:00
232,10.0,2019-07-21 13:00:00
233,25.0,2019-07-21 14:00:00
234,30.0,2019-07-21 15:00:00
235,35.0,2019-07-21 16:00:00
236,42.0,2019-07-21 17:00:00
237,36.0,2019-07-21 18:00:00
238,32.0,2019-07-21 19:00:00
239,33.0,2019-07-21 20:00:00
240,38.0,2019-07-21 21:00:00
241,36.0,2019-07-21 22:00:00
242,39.0,2019-07-21 23:00:00
243,38.0,2019-07-22 00:00:00
244,41.0,2019-07-22 01:00:00
245,45.0,2019-07-22 02:00:00
246,49.0,2019-07-22 03:00:00
247,39.0,2019-07-22 04:00:00
248,39.0,2019-07-22 05:00:00
249,45.0,2019-07-22 06:00:00
250,45.0,2019-07-22 07:00:00
251,41.0,2019-07-22 08:00:00
252,21.0,2019-07-22 09:00:00
253,37.0,2019-07-22 10:00:00
254,46.0,2019-07-22 11:00:00
255,46.0,2019-07-22 12:00:00
256,37.0,2019-07-22 13:00:00
257,40.0,2019-07-22 14:00:00
258,41.0,2019-07-22 15:00:00
259,28.0,2019-07-22 16:00:00
260,36.0,2019-07-22 17:00:00
261,40.0,2019-07-22 18:00:00
262,50.0,2019-07-22 19:00:00
263,68.0,2019-07-22 20:00:00
264,59.0,2019-07-22 21:00:00
265,61.0,2019-07-22 22:00:00
266,59.0,2019-07-22 23:00:00
267,59.0,2019-07-23 00:00:00
268,57.0,2019-07-23 01:00:00
269,64.0,2019-07-23 02:00:00
270,69.0,2019-07-23 03:00:00
271,51.0,2019-07-23 04:00:00
272,51.0,2019-07-23 05:00:00
273,49.0,2019-07-23 06:00:00
274,54.0,2019-07-23 07:00:00
275,48.0,2019-07-23 08:00:00
276,40.0,2019-07-23 09:00:00
277,37.0,2019-07-23 10:00:00
278,39.0,2019-07-23 11:00:00
