,rohini,local_time
162,69.0,2019-07-26 00:00:00
163,62.0,2019-07-26 01:00:00
164,36.0,2019-07-26 02:00:00
165,41.0,2019-07-26 03:00:00
166,51.0,2019-07-26 04:00:00
167,59.0,2019-07-26 05:00:00
168,62.0,2019-07-26 06:00:00
169,42.0,2019-07-26 07:00:00
170,29.0,2019-07-26 08:00:00
171,30.0,2019-07-26 09:00:00
172,18.0,2019-07-26 10:00:00
173,27.0,2019-07-26 11:00:00
174,36.0,2019-07-26 12:00:00
175,34.0,2019-07-26 13:00:00
176,33.0,2019-07-26 14:00:00
177,6.0,2019-07-26 15:00:00
178,8.0,2019-07-26 16:00:00
179,12.0,2019-07-26 17:00:00
180,18.0,2019-07-26 18:00:00
181,12.0,2019-07-26 19:00:00
182,16.0,2019-07-26 20:00:00
183,16.0,2019-07-26 21:00:00
184,22.0,2019-07-26 22:00:00
185,16.0,2019-07-26 23:00:00
186,11.0,2019-07-27 00:00:00
187,20.0,2019-07-27 01:00:00
188,18.0,2019-07-27 02:00:00
189,23.0,2019-07-27 03:00:00
190,23.0,2019-07-27 04:00:00
191,18.0,2019-07-27 05:00:00
192,23.0,2019-07-27 06:00:00
193,27.0,2019-07-27 07:00:00
194,42.0,2019-07-27 08:00:00
195,40.0,2019-07-27 09:00:00
196,34.0,2019-07-27 10:00:00
197,25.0,2019-07-27 11:00:00
198,23.0,2019-07-27 12:00:00
199,14.0,2019-07-27 13:00:00
200,20.0,2019-07-27 14:00:00
201,23.0,2019-07-27 15:00:00
202,34.0,2019-07-27 16:00:00
203,13.0,2019-07-27 17:00:00
204,13.0,2019-07-27 18:00:00
205,42.0,2019-07-27 19:00:00
206,62.0,2019-07-27 20:00:00
207,46.0,2019-07-27 21:00:00
208,44.0,2019-07-27 22:00:00
209,51.0,2019-07-27 23:00:00
210,51.0,2019-07-28 00:00:00
211,55.0,2019-07-28 01:00:00
212,22.0,2019-07-28 02:00:00
213,20.0,2019-07-28 03:00:00
214,18.0,2019-07-28 04:00:00
215,30.0,2019-07-28 05:00:00
216,24.0,2019-07-28 06:00:00
217,29.0,2019-07-28 07:00:00
218,29.0,2019-07-28 08:00:00
219,28.0,2019-07-28 09:00:00
220,24.0,2019-07-28 10:00:00
221,20.0,2019-07-28 11:00:00
222,30.0,2019-07-28 12:00:00
223,17.0,2019-07-28 13:00:00
224,24.0,2019-07-28 14:00:00
225,14.0,2019-07-28 15:00:00
226,16.0,2019-07-28 16:00:00
227,13.0,2019-07-28 17:00:00
228,9.0,2019-07-28 18:00:00
229,7.0,2019-07-28 19:00:00
230,17.0,2019-07-28 20:00:00
231,29.0,2019-07-28 21:00:00
232,28.0,2019-07-28 22:00:00
233,39.0,2019-07-28 23:00:00
234,89.0,2019-07-29 00:00:00
235,30.0,2019-07-29 01:00:00
236,24.0,2019-07-29 02:00:00
237,24.0,2019-07-29 03:00:00
238,18.0,2019-07-29 04:00:00
239,30.0,2019-07-29 05:00:00
240,24.0,2019-07-29 06:00:00
241,39.0,2019-07-29 07:00:00
242,28.0,2019-07-29 08:00:00
243,27.0,2019-07-29 09:00:00
244,14.0,2019-07-29 10:00:00
245,30.0,2019-07-29 11:00:00
246,22.0,2019-07-29 12:00:00
247,18.0,2019-07-29 13:00:00
248,17.0,2019-07-29 14:00:00
249,33.0,2019-07-29 15:00:00
250,14.0,2019-07-29 16:00:00
251,13.0,2019-07-29 17:00:00
252,17.0,2019-07-29 18:00:00
253,14.0,2019-07-29 19:00:00
254,19.0,2019-07-29 20:00:00
255,27.0,2019-07-29 21:00:00
256,53.0,2019-07-29 22:00:00
257,68.0,2019-07-29 23:00:00
258,80.0,2019-07-30 00:00:00
259,66.0,2019-07-30 01:00:00
260,48.0,2019-07-30 02:00:00
261,52.0,2019-07-30 03:00:00
262,72.0,2019-07-30 04:00:00
263,47.0,2019-07-30 05:00:00
264,38.0,2019-07-30 06:00:00
265,47.0,2019-07-30 07:00:00
266,44.0,2019-07-30 08:00:00
267,16.0,2019-07-30 09:00:00
268,19.0,2019-07-30 10:00:00
269,27.0,2019-07-30 11:00:00
270,29.0,2019-07-30 12:00:00
271,17.0,2019-07-30 13:00:00
272,16.0,2019-07-30 14:00:00
273,12.0,2019-07-30 15:00:00
274,16.0,2019-07-30 16:00:00
275,19.0,2019-07-30 17:00:00
276,19.0,2019-07-30 18:00:00
277,35.0,2019-07-30 19:00:00
278,28.0,2019-07-30 20:00:00
279,27.0,2019-07-30 21:00:00
280,27.0,2019-07-30 22:00:00
281,41.0,2019-07-30 23:00:00
282,24.0,2019-07-31 00:00:00
283,39.0,2019-07-31 01:00:00
284,56.0,2019-07-31 02:00:00
285,57.0,2019-07-31 03:00:00
286,30.0,2019-07-31 04:00:00
287,34.0,2019-07-31 05:00:00
