,time,north_east,south_east,south_west,north_west
99,2019-07-05 03:00:00,0.0,0.0,0.0,0.0
100,2019-07-05 04:00:00,0.0,0.0,0.0,0.0
101,2019-07-05 05:00:00,0.0,0.0,0.0,0.0
102,2019-07-05 06:00:00,0.0,337.3,0.0,0.0
103,2019-07-05 07:00:00,0.0,0.0,0.0,0.0
104,2019-07-05 08:00:00,0.0,338.0,338.1666666666667,336.0354838709677
105,2019-07-05 09:00:00,0.0,0.0,0.0,0.0
106,2019-07-05 10:00:00,0.0,0.0,0.0,0.0
107,2019-07-05 11:00:00,0.0,0.0,0.0,0.0
108,2019-07-05 12:00:00,0.0,0.0,0.0,0.0
109,2019-07-05 13:00:00,0.0,0.0,0.0,0.0
110,2019-07-05 14:00:00,0.0,0.0,0.0,0.0
111,2019-07-05 15:00:00,0.0,0.0,0.0,0.0
112,2019-07-05 16:00:00,0.0,0.0,0.0,0.0
113,2019-07-05 17:00:00,0.0,0.0,0.0,0.0
114,2019-07-05 18:00:00,0.0,298.2,0.0,0.0
115,2019-07-05 19:00:00,0.0,0.0,0.0,0.0
116,2019-07-05 20:00:00,0.0,300.1666666666667,306.98,317.06666666666666
117,2019-07-05 21:00:00,0.0,0.0,0.0,0.0
118,2019-07-05 22:00:00,0.0,0.0,0.0,0.0
119,2019-07-05 23:00:00,0.0,0.0,0.0,0.0
120,2019-07-06 00:00:00,0.0,0.0,0.0,0.0
121,2019-07-06 01:00:00,0.0,0.0,0.0,0.0
122,2019-07-06 02:00:00,0.0,0.0,0.0,0.0
123,2019-07-06 03:00:00,0.0,0.0,0.0,0.0
124,2019-07-06 04:00:00,0.0,0.0,0.0,0.0
125,2019-07-06 05:00:00,0.0,0.0,0.0,0.0
126,2019-07-06 06:00:00,0.0,0.0,0.0,0.0
127,2019-07-06 07:00:00,335.65,345.0,340.3333333333333,0.0
128,2019-07-06 08:00:00,0.0,0.0,0.0,0.0
129,2019-07-06 09:00:00,0.0,0.0,0.0,0.0
130,2019-07-06 10:00:00,0.0,0.0,0.0,0.0
131,2019-07-06 11:00:00,0.0,0.0,0.0,0.0
132,2019-07-06 12:00:00,0.0,0.0,0.0,0.0
133,2019-07-06 13:00:00,0.0,0.0,0.0,0.0
134,2019-07-06 14:00:00,0.0,0.0,0.0,0.0
135,2019-07-06 15:00:00,0.0,0.0,0.0,0.0
136,2019-07-06 16:00:00,0.0,0.0,0.0,0.0
137,2019-07-06 17:00:00,0.0,0.0,0.0,0.0
138,2019-07-06 18:00:00,0.0,0.0,0.0,0.0
139,2019-07-06 19:00:00,0.0,0.0,0.0,0.0
140,2019-07-06 20:00:00,0.0,300.3,305.2,302.1
141,2019-07-06 21:00:00,0.0,0.0,0.0,0.0
142,2019-07-06 22:00:00,0.0,0.0,0.0,0.0
143,2019-07-06 23:00:00,0.0,0.0,0.0,0.0
144,2019-07-07 00:00:00,0.0,0.0,0.0,0.0
145,2019-07-07 01:00:00,0.0,0.0,0.0,0.0
146,2019-07-07 02:00:00,0.0,0.0,0.0,0.0
147,2019-07-07 03:00:00,0.0,0.0,0.0,0.0
148,2019-07-07 04:00:00,0.0,0.0,0.0,0.0
149,2019-07-07 05:00:00,0.0,0.0,0.0,0.0
150,2019-07-07 06:00:00,0.0,0.0,0.0,0.0
151,2019-07-07 07:00:00,0.0,334.10833333333335,333.8,338.175
152,2019-07-07 08:00:00,0.0,0.0,0.0,0.0
153,2019-07-07 09:00:00,0.0,0.0,0.0,0.0
154,2019-07-07 10:00:00,0.0,0.0,0.0,0.0
155,2019-07-07 11:00:00,0.0,0.0,0.0,0.0
156,2019-07-07 12:00:00,0.0,0.0,0.0,0.0
157,2019-07-07 13:00:00,0.0,0.0,0.0,0.0
158,2019-07-07 14:00:00,0.0,0.0,0.0,0.0
159,2019-07-07 15:00:00,0.0,0.0,0.0,0.0
160,2019-07-07 16:00:00,0.0,0.0,0.0,0.0
161,2019-07-07 17:00:00,0.0,0.0,0.0,0.0
162,2019-07-07 18:00:00,0.0,0.0,0.0,0.0
163,2019-07-07 19:00:00,0.0,0.0,0.0,0.0
164,2019-07-07 20:00:00,0.0,314.76,297.3,0.0
165,2019-07-07 21:00:00,0.0,0.0,303.8,0.0
166,2019-07-07 22:00:00,0.0,0.0,0.0,0.0
167,2019-07-07 23:00:00,0.0,0.0,0.0,0.0
168,2019-07-08 00:00:00,0.0,0.0,0.0,0.0
169,2019-07-08 01:00:00,0.0,0.0,0.0,0.0
170,2019-07-08 02:00:00,0.0,0.0,0.0,0.0
171,2019-07-08 03:00:00,0.0,0.0,0.0,0.0
172,2019-07-08 04:00:00,0.0,0.0,0.0,0.0
173,2019-07-08 05:00:00,0.0,0.0,0.0,0.0
174,2019-07-08 06:00:00,0.0,0.0,0.0,0.0
175,2019-07-08 07:00:00,0.0,346.1818181818182,0.0,333.7666666666667
176,2019-07-08 08:00:00,0.0,0.0,338.15,0.0
177,2019-07-08 09:00:00,0.0,0.0,0.0,0.0
